Intensity_economia,Polarization_economia,Subjectivity_economia,Intensity_gimnasio,Polarization_gimnasio,gimnasio,sanitas,adeslas,decathlon,IBEX35_close,crecimiento,date
0.35,0.264,0.022000000000000002,0.537,0.39799999999999996,0.667,0.5,0.375,0.217,0.83,0.5,2014-07-25
0.366,0.264,0.022000000000000002,0.527,0.369,0.667,0.5,0.375,0.217,0.8290000000000001,0.5,2014-07-26
0.5,0.297,0.055999999999999994,0.5329999999999999,0.41200000000000003,0.667,0.5,0.375,0.217,0.8290000000000001,0.5,2014-07-27
0.433,0.243,0.043,0.516,0.376,0.667,0.5,0.375,0.217,0.8290000000000001,0.5,2014-07-28
0.37200000000000005,0.27899999999999997,0.048,0.502,0.375,0.667,0.5,0.375,0.217,0.8320000000000001,0.5,2014-07-29
0.359,0.27,0.017,0.498,0.349,0.667,0.5,0.375,0.217,0.8390000000000001,0.5,2014-07-30
0.375,0.261,0.013000000000000001,0.456,0.364,0.667,0.5,0.375,0.217,0.799,0.5,2014-07-31
0.37200000000000005,0.263,0.015,0.486,0.38299999999999995,0.667,0.5,0.375,0.217,0.765,0.5,2014-08-01
0.341,0.249,0.024,0.5,0.376,1.0,0.833,0.5,0.188,0.762,0.5,2014-08-02
0.349,0.276,0.057,0.531,0.376,1.0,0.833,0.5,0.188,0.762,0.5,2014-08-03
0.42100000000000004,0.254,0.023,0.547,0.368,1.0,0.833,0.5,0.188,0.762,0.5,2014-08-04
0.44299999999999995,0.265,0.026000000000000002,0.48200000000000004,0.361,1.0,0.833,0.5,0.188,0.737,0.5,2014-08-05
0.364,0.267,0.07400000000000001,0.45,0.365,1.0,0.833,0.5,0.188,0.7190000000000001,0.5,2014-08-06
0.36200000000000004,0.243,0.043,0.517,0.36200000000000004,1.0,0.833,0.5,0.188,0.69,0.5,2014-08-07
0.395,0.253,0.08,0.506,0.361,1.0,0.833,0.5,0.188,0.6940000000000001,0.5,2014-08-08
0.401,0.256,0.059000000000000004,0.527,0.386,1.0,0.833,0.5,0.188,0.71,0.5,2014-08-09
0.233,0.271,0.076,0.473,0.373,1.0,0.833,0.5,0.188,0.71,0.5,2014-08-10
0.33399999999999996,0.271,0.076,0.475,0.331,1.0,0.833,0.5,0.188,0.71,0.5,2014-08-11
0.38299999999999995,0.22699999999999998,0.035,0.486,0.353,1.0,0.833,0.5,0.188,0.718,0.5,2014-08-12
0.478,0.262,0.079,0.47700000000000004,0.33299999999999996,1.0,0.833,0.5,0.188,0.7290000000000001,0.5,2014-08-13
0.375,0.262,0.079,0.555,0.397,1.0,0.833,0.5,0.188,0.727,0.5,2014-08-14
0.409,0.267,0.114,0.446,0.391,1.0,0.833,0.5,0.188,0.715,0.5,2014-08-15
0.375,0.265,0.022000000000000002,0.475,0.37,1.0,0.833,0.5,0.188,0.737,0.5,2014-08-16
0.317,0.239,0.11199999999999999,0.45,0.354,1.0,0.833,0.5,0.188,0.737,0.5,2014-08-17
0.466,0.27699999999999997,0.052000000000000005,0.516,0.37200000000000005,1.0,0.833,0.5,0.188,0.737,0.5,2014-08-18
0.436,0.281,0.047,0.513,0.37200000000000005,1.0,0.833,0.5,0.188,0.743,0.5,2014-08-19
0.409,0.259,0.001,0.45799999999999996,0.35,1.0,0.833,0.5,0.188,0.7490000000000001,0.5,2014-08-20
0.337,0.28600000000000003,0.006,0.508,0.385,1.0,0.833,0.5,0.188,0.773,0.5,2014-08-21
0.47100000000000003,0.28600000000000003,0.073,0.44299999999999995,0.37200000000000005,1.0,0.833,0.5,0.188,0.763,0.5,2014-08-22
0.349,0.28600000000000003,0.073,0.46,0.373,1.0,0.833,0.5,0.188,0.7959999999999999,0.5,2014-08-23
0.34299999999999997,0.257,0.004,0.505,0.384,1.0,0.833,0.5,0.188,0.7959999999999999,0.5,2014-08-24
0.379,0.257,0.046,0.504,0.363,1.0,0.833,0.5,0.188,0.7959999999999999,0.5,2014-08-25
0.43700000000000006,0.26899999999999996,0.067,0.515,0.37,1.0,0.833,0.5,0.188,0.82,0.5,2014-08-26
0.43,0.26899999999999996,0.067,0.49,0.358,1.0,0.833,0.5,0.188,0.821,0.5,2014-08-27
